Time,Wind,Athlete,Nationality,Data
9.95,0.3,Jim Hines,United States,October 14 1968
9.93,1.4,Calvin Smith,United States,July 3 1983
9.92,1.1,Carl Lewis,United States,September 24 1988
9.9,1.9,Leroy Burrell,United States,June 14 1991
9.86,1.2,Carl Lewis,United States,August 25 1991
9.85,1.2,Leroy Burrell,United States,July 6 1994
9.84,0.7,Donovan Bailey,Canada,July 27 1996
9.79,0.1,Maurice Greene,United States,June 16 1999
9.77,1.6,Asafa Powell,Jamaica,June 14 2005
9.74,1.7,Asafa Powell,Jamaica,September 9 2007
9.72,1.7,Usain Bolt,Jamaica,May 31 2008
9.69,0.0,Usain Bolt,Jamaica,August 16 2008
9.58,0.9,Usain Bolt,Jamaica,August 16 2009
